ingredient_name,drug_concept_id,drug_concept_name,concept_class_id,vocabulary_id,dose_form
nifedipine,21172623,Nifedipine 5 MG Oral Capsule [Adalat] by Bayer,Marketed Product,RxNorm Extension,Oral Capsule
nifedipine,21044954,Nifedipine 10 MG Extended Release Oral Tablet Box of 56 by Niche,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,21025348,Nifedipine 30 MG Extended Release Oral Tablet by DE,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41310684,Nifedipine 20 MG Extended Release Oral Tablet [Nife Basf],Branded Drug,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41165595,Nifedipine 60 MG Extended Release Oral Tablet [Nifehexal] Box of 50 by Novartis,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,40725321,Nifedipine 30 MG Extended Release Oral Tablet [Adalat LA] by Sigma,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,35130613,1 ML Nifedipine 10 MG/ML Oral Granules,Quant Clinical Drug,RxNorm Extension,Oral Granules
nifedipine,43184630,Nifedipine 30 MG Extended Release Oral Tablet [NIFEDIPINE RANBAXY] Box of 30,Branded Drug Box,RxNorm Extension,Extended Release Oral Tablet
nifedipine,21152997,Nifedipine 20 MG Extended Release Oral Tablet [Adipin] Box of 56 by Chiesi,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,21074553,Nifedipine 20 MG Extended Release Oral Tablet [Adalat LA] by DE,Marketed Product,RxNorm Extension,Extended Release Oral Tablet
nifedipine,41389473,30 ML Nifedipine 0.667 MG/ML Oral Solution [Aprical] Box of 20 by Shire,Marketed Product,RxNorm Extension,Oral Solution
nifedipine,41289994,Nifedipine 20 MG Extended Release Oral Capsule Box of 50 by Sanol,Marketed Product,RxNorm Extension,Extended Release Oral Capsule
nifedipine,40884530,Nifedipine 20 MG Extended Release Oral Capsule Box of 50 by Ratiopharm,Marketed Product,RxNorm Extension,Extended Release Oral Capsule
