source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
bl8c.00,0,READ_DAAD,*CALCIPINE 5mg capsules,21143144,RxNorm Extension,1970-01-01,2099-12-31,
bl8B.00,0,READ_DAAD,ADIPINE MR 10 m/r tablets,21162883,RxNorm Extension,1970-01-01,2099-12-31,
bl8j.00,0,READ_DAAD,ADALAT LA 60mg m/r tablets,21064641,RxNorm Extension,1970-01-01,2099-12-31,
bl8O.00,0,READ_DAAD,*SLOFEDIPINE 20mg m/r tablets,21044941,RxNorm Extension,1970-01-01,2099-12-31,
bl8h.00,0,READ_DAAD,*NIFENSAR XL 20mg m/r tablets,21113693,RxNorm Extension,1970-01-01,2099-12-31,
bl8D.00,0,READ_DAAD,*NIMODREL MR 10 m/r tablets,21162882,RxNorm Extension,1970-01-01,2099-12-31,
bl8k.00,0,READ_DAAD,CORACTEN SR 10mg m/r capsules,21172613,RxNorm Extension,1970-01-01,2099-12-31,
bl8U.00,0,READ_DAAD,NIFEDIPRESS MR 20 m/r tablets,21133169,RxNorm Extension,1970-01-01,2099-12-31,
bl8i.00,0,READ_DAAD,ADALAT LA 30mg m/r tablets,21172620,RxNorm Extension,1970-01-01,2099-12-31,
bl8K.00,0,READ_DAAD,TENSIPINE MR 20 m/r tablets,21172600,RxNorm Extension,1970-01-01,2099-12-31,
bll7.00,0,READ_DAAD,CALCHAN MR 10mg m/r tablets,21035105,RxNorm Extension,1970-01-01,2099-12-31,
bl8Y.00,0,READ_DAAD,CORACTEN XL 60mg m/r capsules,21044961,RxNorm Extension,1970-01-01,2099-12-31,
bl8n.00,0,READ_DAAD,*NIFELEASE 20mg m/r tablets,21113693,RxNorm Extension,1970-01-01,2099-12-31,
bl8a.00,0,READ_DAAD,*VASAD 10mg capsules,21143127,RxNorm Extension,1970-01-01,2099-12-31,
bl8Q.00,0,READ_DAAD,GENALAT RETARD 10mg m/r tablets,21162882,RxNorm Extension,1970-01-01,2099-12-31,
bllb.00,0,READ_DAAD,VALNI 20 RETARD 20mg m/r tablets,21113698,RxNorm Extension,1970-01-01,2099-12-31,
bl8o.00,0,READ_DAAD,*CALANIF 10mg capsules,21074558,RxNorm Extension,1970-01-01,2099-12-31,
bl8d.00,0,READ_DAAD,*CALCIPINE 10mg capsules,21074558,RxNorm Extension,1970-01-01,2099-12-31,
bl8W.00,0,READ_DAAD,NIFEDIPINE 60mg m/r capsules,21103923,RxNorm Extension,1970-01-01,2099-12-31,
